Label,Facility,Temperature,CO2,Ignore
116,ahs,3001071,,NO
137,ahs,3011595,3011592,NO
138,ahs,3001201,,NO
139,ahs,3011582,3011579,NO
201,ahs,3006664,3006672,NO
203,ahs,3006616,3006624,NO
205,ahs,3006578,3006586,NO
207,ahs,3006552,3006560,NO
209,ahs,3007272,3007275,NO
211,ahs,3019361,3019364,NO
215,ahs,3019554,3019557,NO
222,ahs,3007505,3007508,NO
224,ahs,3019080,3019083,NO
225,ahs,3007894,3007897,NO
226,ahs,3007633,3007636,NO
227,ahs,3008194,3008197,NO
228,ahs,3019597,3019600,NO
230,ahs,3007938,3007941,NO
232,ahs,3019412,3019415,NO
237,ahs,3019317,3019320,NO
241,ahs,3019266,3019269,NO
243,ahs,3019035,3019038,NO
245,ahs,3019170,3019173,NO
247,ahs,3019126,3019129,NO
249,ahs,3009875,3009878,NO
251,ahs,3010431,3010434,NO
253,ahs,3010481,3010484,NO
255A&B,ahs,3011366,3011369,NO
260A,ahs,3001161,,NO
260B,ahs,3001177,,NO
264A,ahs,3001515,3001503,NO
264B,ahs,3001640,3001628,NO
267,ahs,3011148,3011151,NO
271,ahs,3010274,3010277,NO
272,ahs,3009826,3009829,NO
273,ahs,3009777,3009780,NO
301,ahs,3002974,3002981,NO
303,ahs,3002985,,NO
305,ahs,3002964,3002965,NO
307,ahs,3002996,3003003,NO
309,ahs,3003007,3003014,NO
310,ahs,3001090,,NO
311,ahs,3003018,3003025,NO
313,ahs,3003029,3003036,NO
320,ahs,3006123,3006131,NO
323,ahs,3006152,3006160,NO
325,ahs,3006189,3006197,NO
326,ahs,3006238,3006246,NO
328,ahs,3006347,3006355,NO
335,ahs,3001848,3001836,NO
337,ahs,3001822,3001810,NO
339,ahs,3001796,3001784,NO
341,ahs,3001770,3001758,NO
343,ahs,3001744,3001732,NO
345,ahs,3001718,3001706,NO
347,ahs,3001692,3001680,NO
349,ahs,3001666,3001654,NO
351,ahs,3001489,3001477,NO
353,ahs,3001463,3001451,NO
355,ahs,3020712,,NO
357,ahs,3001437,3001425,NO
359,ahs,3001411,3001399,NO
361,ahs,3001385,3001373,NO
363,ahs,3001359,3001347,NO
365,ahs,3001333,3001321,NO
367,ahs,3001307,3001295,NO
369,ahs,3001281,3001269,NO
370,ahs,3001255,3001243,NO
373,ahs,3001935,3001933,NO
375.01,ahs,3003049,3003056,NO
375.02,ahs,3019714,3019750,NO
377,ahs,3006431,3006439,NO
377.01,ahs,3001221,3019751,NO
379,ahs,3001900,3001888,NO
381,ahs,3001874,3001862,NO
Guidance,ahs,3001145,,NO
Kit Conf,ahs,3001532,,NO
Kit Office,ahs,3001549,,NO
Principal Office,ahs,3001914,,NO
Outside Air,ahs,3001015,3014200,NO
Field House NW,ahs,3014141,3013697,YES
Field House SW,ahs,3013693,3014144,YES
Field House SE,ahs,3013760,3013764,YES
Field House NE,ahs,3015226,3015232,YES
Dunn Gym,ahs,3000663,3000638,NO
Locker Rooms,ahs,3000622,,NO
Athletic Director,ahs,3001127,,NO
Arts & Ceramic,ahs,3000413,,YES
CADD & Graphics,ahs,3000365,,YES
Main Lobby,ahs,3000213,,NO
Computer Office,ahs,3000522,,NO
Admin Office,ahs,3000476,,NO
CC Scene Shop,ahs,3002109,3002114,YES
CC Entry Hall & Common,ahs,3002081,3002086,YES
CC Stage,ahs,3002053,3002058,YES
CC Seating,ahs,3002025,3002030,YES
CC Band & Choral ZN1,ahs,3001988,3001996,YES
CC Multizone ZN1,ahs,3001942,3001952,YES
CC Multizone ZN2,ahs,3001943,,YES
CC Multizone ZN3,ahs,3001944,,YES
CC Multizone ZN4,ahs,3001945,,YES
